Thread ID: -609414948
Total: 55340232210.356468

 %self     total     self     wait    child    calls  name
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zscale
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zrot
  0.00  18446744070.20     0.00     0.00 18446744070.19     1105  Enumerable#inject
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yscale
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zscale
  0.00      0.00     0.00     0.00     0.00     1175  Kernel#instance_variable_set
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xscale
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yscale
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xscale
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  Unknown#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yscale
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xscale
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zscale
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xscale
  0.00      0.00     0.00     0.00     0.00     1744  Unknown#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xscale
  0.00      0.00     0.00     0.00     0.00     1744  Unknown#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yscale
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xscale
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zscale
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  Unknown#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xscale
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xrot
  0.00      0.00     0.00     0.00     0.00     1744  Unknown#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  Unknown#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  Unknown#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zscale
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  Unknown#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xrot
  0.00      0.00     0.00     0.00     0.00     1744  Unknown#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xscale
  0.00      0.00     0.00     0.00     0.00     1744  Unknown#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  Unknown#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xscale
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  Unknown#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  Unknown#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xrot
  0.00      0.00     0.00     0.00     0.00     1744  Unknown#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zscale
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zscale
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xrot
  0.00      0.00     0.00     0.00     0.00     1744  Unknown#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zscale
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yscale
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  Unknown#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xscale
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ytran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xrot
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zscale
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#yscale
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#zrot
  0.00      0.00     0.00     0.00     0.00     1744  Unknown#xtran
